"filename", "language", "JavaScript", "SCSS", "CSS", "JSON", "HTML", "XML", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_CertificadosSSLPage.scss", "SCSS", 0, 412, 0, 0, 0, 0, 0, 0, 7, 45, 464
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_DomainDetail.scss", "SCSS", 0, 54, 0, 0, 0, 0, 0, 0, 1, 9, 64
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_DomainsList.scss", "SCSS", 0, 124, 0, 0, 0, 0, 0, 0, 2, 21, 147
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_EditDomainPage.scss", "SCSS", 0, 85, 0, 0, 0, 0, 0, 0, 1, 17, 103
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_EditUserPage.scss", "SCSS", 0, 85, 0, 0, 0, 0, 0, 0, 1, 17, 103
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_InviteUser.scss", "SCSS", 0, 96, 0, 0, 0, 0, 0, 0, 0, 13, 109
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_UserDetail.scss", "SCSS", 0, 54, 0, 0, 0, 0, 0, 0, 1, 9, 64
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_UsersList.scss", "SCSS", 0, 124, 0, 0, 0, 0, 0, 0, 2, 21, 147
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_accounts.scss", "SCSS", 0, 75, 0, 0, 0, 0, 0, 0, 0, 8, 83
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_billingDetails.scss", "SCSS", 0, 69, 0, 0, 0, 0, 0, 0, 1, 11, 81
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_comprarPage.scss", "SCSS", 0, 292, 0, 0, 0, 0, 0, 0, 6, 51, 349
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_confirmEmail.scss", "SCSS", 0, 68, 0, 0, 0, 0, 0, 0, 1, 9, 78
